FIPS Code;Alt FIPS Code;State;State Abbreviation;Population
01;1;Alabama;AL;5030053
02;2;Alaska;AK;736081
04;4;Arizona;AZ;7158923
05;5;Arkansas;AR;3013756
06;6;California;CA;39576757
08;8;Colorado;CO;5782171
09;9;Connecticut;CT;3608298
10;10;Delaware;DE;990837
12;12;Florida;FL;21570527
13;13;Georgia;GA;10725274
15;15;Hawaii;HI;1460137
16;16;Idaho;ID;1841377
17;17;Illinois;IL;12822739
18;18;Indiana;IN;6790280
19;19;Iowa;IA;3192406
20;20;Kansas;KS;2940865
21;21;Kentucky;KY;4509342
22;22;Louisiana;LA;4661468
23;23;Maine;ME;1363582
24;24;Maryland;MD;6185278
25;25;Massachusetts;MA;7033469
26;26;Michigan;MI;10084442
27;27;Minnesota;MN;5709752
28;28;Mississippi;MS;2963914
29;29;Missouri;MO;6160281
30;30;Montana;MT;1085407
31;31;Nebraska;NE;1963333
32;32;Nevada;NV;3108462
33;33;New Hampshire;NH;1379089
34;34;New Jersey;NJ;9294493
35;35;New Mexico;NM;2120220
36;36;New York;NY;20215751
37;37;North Carolina;NC;10453948
38;38;North Dakota;ND;779702
39;39;Ohio;OH;11808848
40;40;Oklahoma;OK;3963516
41;41;Oregon;OR;4241500
42;42;Pennsylvania;PA;13011844
44;44;Rhode Island;RI;1098163
45;45;South Carolina;SC;5124712
46;46;South Dakota;SD;887770
47;47;Tennessee;TN;6916897
48;48;Texas;TX;29183290
49;49;Utah;UT;3275252
50;50;Vermont;VT;643503
51;51;Virginia;VA;8654542
53;53;Washington;WA;7715946
54;54;West Virginia;WV;1795045
55;55;Wisconsin;WI;5897473
56;56;Wyoming;WY;577719
